environment;line;div;week;total;d_sum;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14
B;Flora;sfl;2;10;25;1;5;2;2;0;0;0;0;0;0;0;0;0;0
T;S1;mix;2;12;17;8;3;1;0;0;0;0;0;0;0;0;0;0;0
T;S2;mix;2;10;24;3;0;7;0;0;0;0;0;0;0;0;0;0;0
T;S3;mix;2;14;34;3;6;1;4;0;0;0;0;0;0;0;0;0;0
T;S4;mix;2;10;17;5;4;0;1;0;0;0;0;0;0;0;0;0;0
T;S5;mix;2;8;14;4;2;2;0;0;0;0;0;0;0;0;0;0;0
T;S6;mix;2;24;57;6;8;5;5;0;0;0;0;0;0;0;0;0;0
T;S7;mix;2;2;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0
T;S8;mix;2;3;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0
T;GH;sfl;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;Bourg;sfl;2;4;11;0;1;3;0;0;0;0;0;0;0;0;0;0;0
T;SRVL;sfl;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;Steven;sfl;2;6;19;0;1;4;0;1;0;0;0;0;0;0;0;0;0
T;Citadel;sfl;2;4;15;0;0;1;3;0;0;0;0;0;0;0;0;0;0
T;2;sfl;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;OD;sfl;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
T;Flora;sfl;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G;S1;mix;2;42;98;12;14;10;4;0;2;0;0;0;0;0;0;0;0
G;S2;mix;2;30;62;11;10;5;4;0;0;0;0;0;0;0;0;0;0
G;S3;mix;2;20;40;8;6;5;0;1;0;0;0;0;0;0;0;0;0
G;S4;mix;2;24;61;6;6;9;0;2;1;0;0;0;0;0;0;0;0
G;S5;mix;2;40;97;13;9;11;2;5;0;0;0;0;0;0;0;0;0
G;S6;mix;2;38;67;17;13;8;0;0;0;0;0;0;0;0;0;0;0
G;S7;mix;2;40;81;15;15;7;0;3;0;0;0;0;0;0;0;0;0
G;S8;mix;2;28;53;15;3;9;0;1;0;0;0;0;0;0;0;0;0
G;GH;sfl;2;27;52;9;13;4;0;1;0;0;0;0;0;0;0;0;0
G;Bourg;sfl;2;21;41;5;12;4;0;0;0;0;0;0;0;0;0;0;0
G;SRVL;sfl;2;49;81;27;14;7;0;1;0;0;0;0;0;0;0;0;0
G;Steven;sfl;2;8;18;2;3;2;1;0;0;0;0;0;0;0;0;0;0
G;Citadel;sfl;2;78;195;10;27;38;0;1;2;0;0;0;0;0;0;0;0
G;2;sfl;2;8;22;1;3;2;1;1;0;0;0;0;0;0;0;0;0
G;OD;sfl;2;51;129;16;7;19;5;2;2;0;0;0;0;0;0;0;0
G;Flora;sfl;2;6;8;5;0;1;0;0;0;0;0;0;0;0;0;0;0
B;S1;mix;3;14;63;2;1;1;3;0;5;2;0;0;0;0;0;0;0
B;S2;mix;3;1;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0
B;S3;mix;3;4;13;1;1;1;0;0;0;1;0;0;0;0;0;0;0
B;S4;mix;3;8;31;2;0;1;0;4;1;0;0;0;0;0;0;0;0
B;S5;mix;3;27;132;0;1;7;0;5;14;0;0;0;0;0;0;0;0
B;S6;mix;3;31;123;2;8;5;5;4;3;0;4;0;0;0;0;0;0
B;S7;mix;3;23;136;0;3;2;3;2;1;4;4;4;0;0;0;0;0
B;S8;mix;3;18;67;2;5;1;2;5;2;1;0;0;0;0;0;0;0
